City,Country,Continent,Summer Olympics,Winter Olympics,Summer Youth Olympics,Winter Youth Olympics,Total
London,?United Kingdom,Europe,"3 (1908,?1948,?2012)",0,0,0,3
Paris,?France,Europe,"3 (1900,?1924,?2024)",0,0,0,3
Los Angeles,?United States,North America,"3 (1932,?1984,?2028)",0,0,0,3
Innsbruck,?Austria,Europe,0,"2 (1964,?1976)",0,1 (2012),3
Athens,?Greece,Europe,"2 (1896,?2004)",0,0,0,2
Tokyo,?Japan,Asia,"2 (1964,?2020)",0,0,0,2
Beijing,?China,Asia,1 (2008),1 (2022),0,0,2
St. Moritz,??Switzerland,Europe,0,"2 (1928,?1948)",0,0,2
Lake Placid,?United States,North America,0,"2 (1932,?1980)",0,0,2
Lillehammer,?Norway,Europe,0,1 (1994),0,1 (2016),2
