Rank,Country,Continent,Summer Olympics,Winter Olympics,Summer Youth Olympics,Winter Youth Olympics,Total
1,?United States,North America,"5 (1904,?1932,?1984,?1996,?2028)","4 (1932,?1960,?1980,?2002)",0,0,9
2,?France,Europe,"3 (1900,?1924,?2024)","3 (1924,?1968,?1992)",0,0,6
3,?Japan,Asia,"2 (1940,?1964,?2020)","2 (1940,?1972,?1998)",0,0,4
4,?China,Asia,1 (2008),1 (2022),1 (2014),0,3
5,??Switzerland,Europe,0,"2 (1928,?1940,?1948)",0,1 (2020),3
6,?Norway,Europe,0,"2 (1952,?1994)",0,1 (2016),3
7,?United Kingdom,Europe,"3 (1908,?1944,?1948,?2012)",0,0,0,3
8,?Austria,Europe,0,"2 (1964,?1976)",0,1 (2012),3
9,?Canada,North America,1 (1976),"2 (1988,?2010)",0,0,3
10,?Italy,Europe,1 (1960),"2 (1944,?1956,?2006)",0,0,3
11,?German Empire/?Nazi Germany/?West Germany/?Germany,Europe,"2 (1916,?1936,?1972)","1 (1936,?1940)",0,0,3
12,?South Korea,Asia,1 (1988),1 (2018),0,0,2
13,?Soviet Union/,Europe,1 (1980),1 (2014),0,0,2
13,?Russia,Europe,1 (1980),1 (2014),0,0,2
14,?Greece,Europe,"2 (1896,?2004)",0,0,0,2
15,?Australia,Oceania,"2 (1956,?2000)",0,0,0,2
16,?Senegal,Africa,0,0,1 (2022),0,1
17,?Argentina,South America,0,0,1 (2018),0,1
18,?Brazil,South America,1 (2016),0,0,,1
19,?Singapore,Asia,0,0,1 (2010),0,1
20,?Spain,Europe,1 (1992),0,0,0,1
21,?SFR Yugoslavia/?Bosnia and Herzegovina,Europe,0,1 (1984),0,0,1
22,?Mexico,North America,1 (1968),0,0,0,1
23,?Finland,Europe,"1 (1940,?1952)",0,0,0,1
24,?Netherlands,Europe,1 (1928),0,0,0,1
25,?Belgium,Europe,1 (1920),0,0,0,1
26,?Sweden,Europe,1 (1912),0,0,0,1
